version,release_date,build,eol_date,name,announcement_url
4.54.x,2007-09-04, beta,2007-09-05,7-Zip,https://www.7-zip.org/history.txt
4.53.x,2007-08-27, beta,2007-09-04,7-Zip,https://www.7-zip.org/history.txt
4.52.x,2007-08-03, beta,2007-08-27,7-Zip,https://www.7-zip.org/history.txt
4.51.x,2007-07-25, beta,2007-08-03,7-Zip,https://www.7-zip.org/history.txt
4.50.x,2007-07-24, beta,2007-07-25,7-Zip,https://www.7-zip.org/history.txt
4.49.x,2007-07-11, beta,2007-07-24,7-Zip,https://www.7-zip.org/history.txt
4.48.x,2007-06-26, beta,2007-07-11,7-Zip,https://www.7-zip.org/history.txt
4.47.x,2007-05-27, beta,2007-06-26,7-Zip,https://www.7-zip.org/history.txt
4.46.x,2007-05-25, beta,2007-05-27,7-Zip,https://www.7-zip.org/history.txt
4.45.x,2007-04-17, beta,2007-05-25,7-Zip,https://www.7-zip.org/history.txt
4.44.x,2007-01-20, beta,2007-04-17,7-Zip,https://www.7-zip.org/history.txt
4.43.x,2006-09-15, beta,2007-01-20,7-Zip,https://www.7-zip.org/history.txt
4.42.x,2006-05-14,,2006-09-15,7-Zip,https://www.7-zip.org/history.txt
4.32.x,2005-12-09,,2006-05-14,7-Zip,https://www.7-zip.org/history.txt
4.31.x,2005-12-04,,2005-12-09,7-Zip,https://www.7-zip.org/history.txt
4.30.x,2005-11-18, beta,2005-12-04,7-Zip,https://www.7-zip.org/history.txt
4.29.x,2005-09-28, beta,2005-11-18,7-Zip,https://www.7-zip.org/history.txt
4.28.x,2005-09-27, beta,2005-09-28,7-Zip,https://www.7-zip.org/history.txt
4.27.x,2005-09-21, beta,2005-09-27,7-Zip,https://www.7-zip.org/history.txt
4.26.x,2005-08-05, beta,2005-09-21,7-Zip,https://www.7-zip.org/history.txt
4.25.x,2005-07-31, beta,2005-08-05,7-Zip,https://www.7-zip.org/history.txt
4.24.x,2005-07-06, beta,2005-07-31,7-Zip,https://www.7-zip.org/history.txt
4.23.x,2005-06-29,,2005-07-06,7-Zip,https://www.7-zip.org/history.txt
4.20.x,2005-05-30,,2005-06-29,7-Zip,https://www.7-zip.org/history.txt
4.19.x,2005-05-21, beta,2005-05-30,7-Zip,https://www.7-zip.org/history.txt
4.18.x,2005-04-19, beta,2005-05-21,7-Zip,https://www.7-zip.org/history.txt
4.17.x,2005-04-18, beta,2005-04-19,7-Zip,https://www.7-zip.org/history.txt
4.16.x,2005-03-29, beta,2005-04-18,7-Zip,https://www.7-zip.org/history.txt
4.15.x,2005-01-25, beta,2005-03-29,7-Zip,https://www.7-zip.org/history.txt
4.14.x,2005-01-11, beta,2005-01-25,7-Zip,https://www.7-zip.org/history.txt
4.13.x,2004-12-14, beta,2005-01-11,7-Zip,https://www.7-zip.org/history.txt
4.12.x,2004-11-18, beta,2004-12-14,7-Zip,https://www.7-zip.org/history.txt
4.11.x,2004-11-16, beta,2004-11-18,7-Zip,https://www.7-zip.org/history.txt
4.10.x,2004-10-21, beta,2004-11-16,7-Zip,https://www.7-zip.org/history.txt
4.09.x,2004-10-05, beta,2004-10-21,7-Zip,https://www.7-zip.org/history.txt
4.08.x,2004-10-04, beta,2004-10-05,7-Zip,https://www.7-zip.org/history.txt
4.07.x,2004-10-03, beta,2004-10-04,7-Zip,https://www.7-zip.org/history.txt
3.13.x,2003-12-11,,2004-10-03,7-Zip,https://www.7-zip.org/history.txt
3.12.x,2003-12-10,,2003-12-11,7-Zip,https://www.7-zip.org/history.txt
3.11.x,2003-10-06,,2003-12-10,7-Zip,https://www.7-zip.org/history.txt
3.10.x,2003-09-27,,2003-10-06,7-Zip,https://www.7-zip.org/history.txt
3.09.02.x,2003-09-20,,2003-09-27,7-Zip,https://www.7-zip.org/history.txt
3.09.01.x,2003-09-06, beta,2003-09-20,7-Zip,https://www.7-zip.org/history.txt
3.08.04.x,2003-08-24, beta,2003-09-06,7-Zip,https://www.7-zip.org/history.txt
3.08.03.x,2003-08-21, beta,2003-08-24,7-Zip,https://www.7-zip.org/history.txt
3.08.02.x,2003-08-20, beta,2003-08-21,7-Zip,https://www.7-zip.org/history.txt
3.08.x,2003-08-19, beta,2003-08-20,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-05-15, Beta 32,2003-08-19,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-04-29, Beta 31,2003-05-15,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-04-19, Beta 30,2003-04-29,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-04-07, Beta 29,2003-04-19,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-02-16, Beta 28,2003-04-07,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-01-24, Beta 27,2003-02-16,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-01-12, Beta 26,2003-01-24,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2003-01-02, Beta 25,2003-01-12,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-11-01, Beta 24,2003-01-02,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-09-07, Beta 23,2002-11-01,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-08-31, Beta 22,2002-09-07,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-07-08, Beta 21,2002-08-31,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-07-01, Beta 20,2002-07-08,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-04-11, Beta 19,2002-07-01,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-03-25, Beta 18,2002-04-11,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-03-03, Beta 17,2002-03-25,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-02-24, Beta 16,2002-03-03,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-02-17, Beta 15,2002-02-24,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-02-10, Beta 14,2002-02-17,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-01-31, Beta 13,2002-02-10,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-01-16, Beta 12,2002-01-31,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-01-15, Beta 11,2002-01-16,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-01-11, Beta 10,2002-01-15,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2002-01-08, Beta 9,2002-01-11,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-12-21, Beta 8,2002-01-08,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-11-04, Beta 7,2001-12-21,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-10-13, Beta 6,2001-11-04,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-10-02, Beta 5,2001-10-13,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-09-15, Beta 4,2001-10-02,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-09-10, Beta 3,2001-09-15,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-08-30, Beta 2,2001-09-10,7-Zip,https://www.7-zip.org/history.txt
2.30.x,2001-05-07, Beta 1,2001-08-30,7-Zip,https://www.7-zip.org/history.txt
2.24.x,2001-03-21,,2001-05-07,7-Zip,https://www.7-zip.org/history.txt
2.23.x,2001-03-04,,2001-03-21,7-Zip,https://www.7-zip.org/history.txt
2.22.x,2001-01-21,,2001-03-04,7-Zip,https://www.7-zip.org/history.txt
2.21.x,2000-12-21,,2001-01-21,7-Zip,https://www.7-zip.org/history.txt
2.20.x,2000-11-20,,2000-12-21,7-Zip,https://www.7-zip.org/history.txt
2.11.x,2000-06-15,,2000-11-20,7-Zip,https://www.7-zip.org/history.txt
2.10.x,2000-05-16,,2000-06-15,7-Zip,https://www.7-zip.org/history.txt
2.01.x,1999-09-19,,2000-05-16,7-Zip,https://www.7-zip.org/history.txt
2.00.x,1999-07-18,,1999-09-19,7-Zip,https://www.7-zip.org/history.txt
2.00.x,1999-01-02, Beta 1,1999-07-18,7-Zip,https://www.7-zip.org/history.txt
